LOCATION_ID,LAT,LON,LOCATION,TOTAL_CARS,AREA_CODE
1146,43.7733179960439,-79.2462530048635,ELLESMERE RD AT PARKINGTON CRES (PX 2296),27798,EA
3926,43.6483120026845,-79.485752005821,BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334),101557,SO
3927,43.6592350040891,-79.3284359942956,LAKE SHORE BLVD AT LESLIE ST (PX 206),25458,SO
3928,43.6314309959933,-79.4291809988533,BRITISH COLUMBIA RD AT LAKE SHORE BLVD (PX 1344),53936,SO
3929,43.6333410037216,-79.4345630018803,JAMESON AVE AT LAKE SHORE BLVD W/B (PX 224),45739,SO
3930,43.6304250031894,-79.4197830044259,LAKE SHORE BLVD AT ONTARIO DR & REMEMBRANCE DR (PX 930),23415,SO
3931,43.6344420021858,-79.4087449965524,LAKE SHORE BLVD AT STRACHAN AVE (PX 222),24542,SO
3932,43.6359130003157,-79.4035489951616,BASTION ST AT FLEET ST AND LAKE SHORE BLVD W (PX 299),19134,SO
3933,43.6399280004486,-79.3870359960738,LAKE SHORE BLVD AT REES ST (PX 1408),63388,SO
3934,43.5943610013999,-79.5340159965817,LAKE SHORE BLVD W AT LONG BRANCH AVE (PX 240),10831,WE
3935,43.6907820016224,-79.4030170045103,AVENUE RD AT LONSDALE RD (PX 113),40065,SO
3936,43.6205110006419,-79.4832669971345,LAKE SHORE BLVD AT LEGION RD (PX 1994),19455,WE
3937,43.6246740129865,-79.4802629935068,CHRISTIE COOKIES ACCESS AT LAKE SHORE BLVD E OF PARKLAWN(PX 1784),33669,WE
3938,43.726666996727,-79.3308889961383,DON VALLEY PKWY AT WYNFORD DR WTCS (PX 1037),10904,NO
3939,43.688367998834,-79.4828779988047,BLACK CREEK DR AT EGLINTON AVE (PX 1422),104368,WE
3940,43.7049499965318,-79.494096001504,BLACK CREEK DR AT LAWRENCE AVE W (PX 1348),109413,NO
3941,43.696750000693,-79.3342229973016,FOUR OAKS GT AT O CONNOR DR (PX 1923),15192,SO
3943,43.7053959980044,-79.3128359943946,OCONNOR DR AT ST CLAIR AVE (PX 447),133585,SO
3944,43.715986751,-79.304939369,O CONNOR DR AT WAKUNDA PL,18906,SO
3946,43.6914790024334,-79.2647509985246,BIRCHCLIFF AVE AT KINGSTON RD (PX 155),21983,EA
3948,43.7111209991031,-79.2481870018825,KINGSTON RD AT MIDLAND AVE (PX 151),20259,EA
3949,43.7141140000291,-79.2450729942296,CHINE DR AT KINGSTON RD (PX 1025),15074,EA
3950,43.72203282,-79.236019123,KINGSTON RD AT BROOKLAWN AVE & ST CLAIR AVE E,46453,EA
3951,43.732060924,-79.22456912,BELLAMY RD S AT KINGSTON RD & RAVINE DR,25121,EA
3952,43.746002638,-79.20934926,KINGSTON RD AT SCARBOROUGH GOLF CLUB RD,51743,EA
3953,43.7676529995469,-79.1896089953668,KINGSTON RD AT LAWRENCE AVE (PX 144),121425,EA
3955,43.772607845,-79.185033109,COLLINSGROVE RD AT KINGSTON RD,19441,EA
3956,43.676950004437,-79.3041039961247,BROOKSIDE DR AT KINGSTON RD & WAVERLEY RD (PX 161),24375,SO
3957,43.6788850018198,-79.2980229987127,KINGSTON RD AT MAIN ST & SOUTHWOOD DR (PX 160),46601,SO
